bundesliga,la_liga,ligue1,premier_league,serie_a
VfL Wolfsburg,Barcelona,Bordeaux,Manchester United,Internazionale
Bayern Munich,Barcelona,Marseille,Chelsea,Internazionale
Borussia Dortmund,Barcelona,Lille,Manchester United,Milan
Borussia Dortmund,Real Madrid,Montpellier,Manchester City,Juventus
Bayern Munich,Barcelona,Paris Saint-Germain,Manchester United,Juventus
Bayern Munich,Atlético Madrid,Paris Saint-Germain,Manchester City,Juventus
Bayern Munich,Barcelona,Paris Saint-Germain,Chelsea,Juventus
Bayern Munich,Barcelona,Paris Saint-Germain,Leicester City,Juventus
Bayern Munich,Real Madrid,Monaco,Chelsea,Juventus
Bayern Munich,Barcelona,Paris Saint-Germain,Manchester City,Juventus
