2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
84.0,82.0,82.0,84.0,87.0,102.0,87.0,91.0,91.0,95.0
74.0,80.0,76.0,80.0,78.0,85.0,70.0,82.0,87.0,91.0
74.0,70.0,70.0,64.0,72.0,78.0,69.0,80.0,86.0,77.0
68.0,67.0,66.0,62.0,70.0,65.0,64.0,67.0,72.0,72.0
68.0,65.0,66.0,61.0,66.0,60.0,63.0,64.0,70.0,72.0
63.0,59.0,63.0,58.0,62.0,58.0,59.0,61.0,63.0,64.0
58.0,55.0,58.0,56.0,61.0,57.0,56.0,57.0,62.0,60.0
57.0,52.0,56.0,56.0,56.0,57.0,55.0,54.0,60.0,57.0
53.0,51.0,51.0,51.0,54.0,56.0,54.0,50.0,53.0,54.0
50.0,50.0,51.0,49.0,49.0,54.0,52.0,46.0,48.0,54.0
47.0,47.0,46.0,48.0,47.0,50.0,49.0,46.0,47.0,43.0
46.0,46.0,46.0,46.0,45.0,45.0,49.0,45.0,46.0,41.0
46.0,45.0,46.0,46.0,44.0,44.0,46.0,45.0,45.0,40.0
44.0,44.0,45.0,44.0,42.0,44.0,43.0,42.0,43.0,40.0
43.0,44.0,43.0,43.0,40.0,39.0,42.0,40.0,41.0,39.0
38.0,44.0,42.0,43.0,39.0,36.0,41.0,39.0,36.0,39.0
37.0,42.0,41.0,42.0,38.0,34.0,37.0,39.0,34.0,38.0
34.0,35.0,36.0,36.0,32.0,32.0,34.0,38.0,32.0,35.0
31.0,31.0,32.0,32.0,30.0,29.0,24.0,31.0,26.0,25.0
30.0,29.0,24.0,22.0,22.0,25.0,19.0,28.0,18.0,21.0
